Date,,,Dividends,,,
9/17/2015,Q3-2015,2015,1.769231,,,
12/17/2015,Q4-2015,2015,1.769231,,,
2/25/2016,Q1-2016,2016,1.769231,,,
6/16/2016,Q2-2016,2016,1.769231,,,
9/15/2016,Q3-2016,2016,1.769231,,,
12/22/2016,Q4-2016,2016,1.846154,,,
2/23/2017,Q1-2017,2017,1.846154,,,
6/15/2017,Q2-2017,2017,1.846154,,,
9/15/2017,Q3-2017,2017,1.846154,,,
12/26/2017,Q4-2017,2017,0.923077,,,
2/23/2018,Q1-2018,2018,0.923077,,,
6/15/2018,Q2-2018,2018,0.923077,,,
9/14/2018,Q3-2018,2018,0.923077,,,
12/19/2018,Q4-2018,2018,0.076923,,,
3/8/2019,Q1-2019,2019,0.08,,,
6/28/2019,Q2-2019,2019,0.08,,,
9/13/2019,Q3-2019,2019,0.08,,,
12/20/2019,Q4-2019,2019,0.08,,,
3/6/2020,Q1-2020,2020,0.08,,,
6/26/2020,Q2-2020,2020,0.08,,,
9/25/2020,Q3-2020,2020,0.08,,,
12/18/2020,Q4-2020,2020,0.08,,,
3/5/2021,Q1-2021,2021,0.08,,,
6/25/2021,Q2-2021,2021,0.08,,,
9/24/2021,Q3-2021,2021,0.08,,,
12/20/2021,Q4-2021,2021,0.08,,,
3/7/2022,Q1-2022,2022,0.08,,,
6/27/2022,Q2-2022,2022,0.08,,,
